Student Contributor Name,Address,Zip Code,Price Sold,Date Sold,Number of Bedrooms,Number of Bathrooms (add 0.5 for a half bath),Year Built,Squared Feet,Lot size (in sqft),Number of Parking Spots
Nikhita Veluri,"3334 Lookout Dr, Cincinnati, OH",45208,506000,10/20/2023,3,2,1928,1524,5837,2
Nikhita Veluri,"3157 Portsmouth Ave, Cincinnati, OH",45208,510000,8/18/2023,3,1.5,1928,1603,7971,2
Sarah Schaefer,"3743 Ault Park Ave, Cincinnati, OH",45208,511000,6/13/2023,3,2,1928,"1,566","7,405",1
Georgia Croci,"3570 Bayard Drive, Cincinnati OH",45208,1842700,10/31/2023,NA,6.5,1928,4742,23522,2
Bhargav Sreepathi,"3441 McFadden Ave, Cincinnati, OH",45211,179900,11/18/2023,3,1,1929,1400,6969,0
Heather Stoffer,"6254 Glade Ave, Cincinnati, OH",45230,270000,12/22/2023,4,2,1929,"1,920","10,018",1
Kory Bailey,"6254 Glade Ave, Cincinnati, OH",45230,270000,12/22/2023,4,2,1929,1920,10018,N/A
Pimlapas Kumkerd,"6254 Glade Ave, Cincinnati, OH",45230,270000,12/22/2023,4,2,1929,"1,920","10,018",
Stewart Shumrick,6254 Glade Ave,45230,270000,12/22/2023,4,2,1929,1920,"10,018",N/A
Matt Guido,"6254 Glade Ave,",45230,270000,12/22/2023,4,2,1929,1920,10018,nan
Hunter Jessee,"4244 Duneden Ave. Cincinnati, OH",45236,275000,12/6/2023,3,2,1929,1517,5915,4
Jameson Zink,"3247 Hildreth Ave,Cincinnati,OH",45211,295000,1/11/2024,3,2,1929,1814,6751.8,1
Srikar Kudumula,"3247 Hildreth Ave, Cincinnati, OH",45211,295000,1/11/2024,3,2,1929,1814,6751,2
Jadyn Bauss,"3247 Hildreth Ave, Cincinnati, OH",45211,315000,1/11/2024,3,2,1929,"1,814","6,751",1
Ajay Mahato,"3699 Saybrook Ave, Cincinnati, OH",45208,320000,1/5/2024,2,1,1929,1063,4791,NA
Anil Palazzo,"3699 Saybrook Ave, Cincinnati, OH",45208,320000,1/5/2024,2,1,1929,"1,063","4,791",no data
Jadyn Bauss,"3699 Saybrook Ave, Cincinnati, OH",45208,320000,1/5/2024,2,1,1929,"1,063","4,791",1
Qinghua Huang,"3699 Saybrook Ave, Cincinnati, OH",45208,320000,1/5/2024,2,1,1929,1063,4791,N/A
Shivani Pilli,417 Wood Ave,45220,335000,10/13/2023,3,1,1929,1452,5400,1
Shivani Pilli,471 Wood Ave,45220,577000,8/14/2023,3,3,1929,2448,9321,2
Miranda Knisley,"3739 Indianview Ave, Cincinnati, OH",45227,690000,6/23/2023,3,3,1929,1734,5749,2
Derek Schult,2632 Handasyde Ave,45208,834900,12/9/2022,3,3,1929,2159,57060,
Nicole Baker,"8705 Camargo Dr, Cincinnati, OH",45243,3500000,7/27/2023,5,8,1929,7980,334540,3
Jadyn Bauss,"4639 Joana PI, Cincinnati, OH",45238,135000,12/29/2023,3,1,1930,"1,563","6,229",2
Matt Guido,4639 Joana Pl,45238,135000,12/29/2023,3,1,1930,1563,6229,1
Hrishikesh Anil Patil,"4639 Joana Pl, Cincinnati, Oh",45238,135800,12/29/2023,3,1,1930,"1,563","6,229",0
Adapa Veda Supraja,"4639 Joana Pl, Cincinnati, Oh",45238,135800,12/29/2023,3,1,1930,"1,563","6,229",NA
Qinghua Huang,"5607 Rolston Ave, Cincinnati, OH",45212,140000,12/29/2023,3,2,1930,1260,3001,1 Garage Space
Ramvyasa Thavasiraj,"127 N Oak St, London, OH",43140,155000,12/20/2023,3,3,1930,3440,8712,1
Srikar Kudumula,"127 N Oak St, London, OH",43140,155000,12/20/2023,3,3,1930,3440,8712,1
Ramvyasa Thavasiraj,"136 Washington Ave, London, OH",43140,159000,11/1/2023,2,1,1930,1160,6198,NA
Srikar Kudumula,"136 Washington Ave, London, OH",43140,159000,11/1/2023,2,1,1930,1160,6198,NA
Shivani Pilli,124 E Shields St,45220,200000,11/13/2023,2,1,1930,848,5096,N/A
Ramvyasa Thavasiraj,"193 S Main St, London, OH",43140,200000,11/16/2023,4,1,1930,2352,12632,2
Srikar Kudumula,"193 S Main St, London, OH",43140,200000,11/16/2023,4,1,1930,2352,12832.4,2
Stewart Shumrick,944 Phillips Rd,45230,215000,12/27/2023,2,1,1930,1134,23086.8,N/A
Hunter Jessee,"6306 Eulid Rd, Cincinnati, Ohio",45236,275000,12/1/2023,3,2,1930,"1,525",36590,2
Surya Sanjay Bandari,"1536 Barvac Ave, Cincinnati, OH ",45223,288500,1/2/2024,3,2,1930,1381,4443,Open Parking
Ranjay Bose,"1269 Quebec Rd,Cincinnati,OH",45205,300000,1/10/2024,N/A,N/A,1930,3885,9452.52,1
Surya Sanjay Bandari,"1269 Quebec Rd, Cincinnati, OH ",45205,300000,1/10/2024,2,2,1930,3885,7660,2
Mark Manibusan,1008 Clifton Hills Ave,45220,319000,10/29/2020,4,3.5,1930,3888,9321,2
Mark Manibusan,806 Clifton Hills Terrace,45220,325500,5/30/2003,4,4,1930,3100,27007,2
Nishit Raj,"6201 Beech View Cir, Cincinnati,",45213,333850,11/6/2023,4,3,1930,2756,6054,2
Ramvyasa Thavasiraj,"1175 Val Wilson Rd, London, OH",43140,390000,12/1/2023,3,3,1930,2512,9654,3
Ishaan Chaudhari,"2222 Pumpkin Ridge Rd, West Union, OH",45693,450000,8/5/2021,3,2,1930,1489,3292264.8,2
Nikhita Veluri,"3508 Victoria Pl, Cincinnati, OH",45208,520000,9/22/2023,3,2.5,1930,1200,4268,1
Caylee Rosa,"5742 Kenneth Ave, Cincinnati, OH",45224,140000,11/27/2023,3,1,1931,"1,209","5,488",1
Mohammed Tahir Madni Mohammed,"2231 Crane Ave, Cincinnati, OH",45207,158000,10/30/2023,2,1,1931,955,5000,1
Pimlapas Kumkerd,"2534 Talbott Ave, Cincinnati, OH",45211,187500,1/3/2024,4,2,1931,"1,488","4,443",
Ajay Mahato,"1825 Emerson Ave, Cincinnati, OH",45239,189900,1/8/2024,2,1,1931,1156,4791,1
Anil Palazzo,"1825 Emerson Ave, Cincinnati, OH",45239,189900,1/8/2024,2,1,1931,"1,156","4,791",1
Caylee Rosa,"1825 Emerson Ave, Cincinnati, OH",45239,189900,1/8/2024,2,1,1931,"1,156","4,791",1
Ajay Mahato,"744 Clanora Dr, Cincinnati, OH",45205,193000,1/4/2024,3,2,1931,1397,6011,1
Anil Palazzo,"744 Clanora Dr, Cincinnati, OH",45205,193000,1/4/2024,3,2,1931,"1,397","6,011",1
Rachael Rahe,"744 Clanora Dr, Cincinnati, OH",45205,193000,1/4/2024,3,2,1931,1397,6011,1
Derek Schult,1164 Cheyenne Dr,45216,210000,5/8/2023,4,2.5,1931,1775,6316,2
Catherine Ngothi,"3072 W Tower Ave, Cincinnati, OH",45238,238775,12/4/2023,3,3,1931,2116,"8,363",No data
Jadyn Bauss,"530 Fleming Rd, Cincinnati, OH",45231,275000,11/30/2023,2,1,1931,"1,066","20,037.60",0
Pimlapas Kumkerd,"5049 Coad Dr, Cincinnati, OH",45237,276000,12/29/2023,3,2,1931,"2,561","7,579",
Surya Sanjay Bandari,"5049 Coad Dr, Cincinnati, OH ",45237,276000,12/29/2023,3,2,1931,2561,7578,1
Jadyn Bauss,"6601 Britton Ave, Cincinnati, OH ",45227,277000,12/29/2023,2,1,1931,962,"4,238",1
Kory Bailey,"6601 Britton Ave, Cincinnati, OH",45227,277000,12/29/2023,2,1,1931,962,4238,1
Pimlapas Kumkerd,"6601 Britton Ave, Cincinnati, OH",45227,277000,12/29/2023,2,1,1931,962,"4,238",1
Robin Verdon,"6601 Britton Ave, Cincinnati, OH",45227,277000,12/29/2023,2,1,1931,962,4238,1
Mark Manibusan,1012 Clifton Hills Ave,45220,329900,8/30/2000,4,2.5,1931,2764,8189,2
Nishit Raj,"6943 Palmetto St, Cincinnati, OH",45227,366000,11/3/2023,3,2,1931,2149,4321,2
Hunter Jessee,"3434 Oak View Pl, Cincinnati, OH",45209,380000,12/7/2023,3,2,1931,1368,4704,1
Miranda Knisley,"3857 Homewood Rd, Cincinnati, OH",45227,385000,7/25/2023,4,2,1931,1844,4399,2
Adapa Veda Supraja,"3434 Oak View Pl, Cincinnati, OH",45209,388400,12/7/2023,3,2,1931,1368,4704,0
Miranda Knisley,"3851 Homewood Rd, Cincinnati, OH",45227,555000,7/3/2023,4,3,1931,2006,5488,1
Miranda Knisley,"3832 Homewood Rd, Cincinnati, OH",45227,655500,7/11/2023,4,4,1931,2628,4268,2
Surya Sanjay Bandari,"319 E Ross Ave, Cincinnati, OH ",45217,158200,12/29/2023,3,2,1932,2063,5493,N/A
Shivani Pilli,4023 Clifton Ave,45220,256000,8/15/2023,4,2,1932,1489,5052,2
Robin Verdon,"3853 Germania Ave, Cincinnati, OH",45227,270000,12/18/2023,2,2,1932,2266,10715,
Robin Verdon,"6906 Roe St, Cincinnati, OH",45227,285000,10/12/2023,2,1,1932,1137,4399,
Mark Manibusan,852 Clifton Hills Terrace ,45220,467000,2/2/2022,3,3,1932,2336,1306,2
Georgia Croci,"3760 Earls Court View, Cincinnati OH",45226,799000,11/29/2023,3,4,1932,3370,11761,NA
Mark Manibusan,868 Clifton Crest Terrace,45220,125000,11/21/2000,5,3,1933,2452,7361,2
Caylee Rosa,"2546 N Bend Rd, Cincinnati, OH",45239,215000,12/14/2023,5,4,1933,"2,817",14810,N/A
David Dickens,"2003 Crane Ave, Cincinnati, OH",45207,295000,11/10/2022,3,2,1933,2018,7013,2
Mark Manibusan,851 Clifton Hills Terrace ,45220,380000,1/14/2003,3,3.5,1933,2930,20908,1
Matt Guido,1535 Shenandoah Ave,45237,115700,12/28/2023,2,1,1934,1134,"6,229",1
Mark Manibusan,838 Clifton Hills Terrace,45220,161975,5/21/2020,3,3,1934,2195,9016,1
Josie Wittwer,"1945 Lawn Ave, Cincinnati, OH ",45237,194900,12/29/2023,2,2,1934,"1,262","9,191",1
Lokesh Rudravalambi Suresh,"4185 Clough Ln, Cincinnati",45245,297000,12/22/2023,4,4,1934,2110,58370.4,2
Nikhil Sai Kumar Runku,"4185 Clough Ln, Cincinnati",45245,297000,12/22/2023,4,4,1934,2110,58370.4,2
Mark Manibusan,846 Clifton Hills Terrace,45220,360000,10/1/2007,3,2,1934,2090,11761,2
Caylee Rosa,"6026 Winton Ridge Ln, Cincinnati, OH",45232,385000,11/17/2023,4,4,1934,"4,221",127195.2,2
Mark Manibusan,840 Clifton Hills Terrace,45220,398000,6/22/2018,4,4,1934,2569,12632,1
Qinghua Huang,"815 Dunore Rd, Cincinnati, OH",45220,460000,8/4/2023,4,3,1934,2160,8450,2
Zachary Durst,"1759 State Route 232, New Richmond, OH",45157,530000,9/28/2023,3,2,1934,1973,2273832,2
Adapa Veda Supraja,"1759 State Route 232, New Richmond, OH",45157,530000,9/28/2023,3,2,1934,1973,2273832,2
Jadyn Bauss,"5815 Twin Oak Dr, Cincinnati, OH",45224,159000,12/14/2023,2,1,1935,"1,315","12,196.80",2
Matt Guido,"4972 Heuwerth Ave,",45238,205000,12/29/2023,2,1.5,1935,1250,6054,1
Mark Manibusan,834 Clifton Hills Terrace,45220,440000,8/28/2023,3,3,1935,2703,8973,1
Shivani Pilli,834 Clifton Hills Ter,45220,440000,8/28/2023,3,3,1935,2703,8973,1
Sergio Mateo,3063 Portsmouth Ave,45208,565100,9/6/2023,3,2,1935,1924,7927.92,1
Heather Stoffer,"9200 Old Indian Hill Rd, Cincinnati, OH ",45243,3500000,11/21/2023,5,8,1935,"10,119","264,409",3
Mark Manibusan,1004 Clifton Hills Ave,45220,173000,2/25/1998,3,1.5,1936,1872,11761,1
Lokesh Rudravalambi Suresh,"5573 Leumas Rd, Cincinnati",45239,200000,1/12/2024,3,1,1936,1308,6838,2
Jayavardhan Reddy Mallu,"5573 Leumas Rd, Cincinnati, OH",45239,200000,1/12/2024,,,1936,"1,308","6,838",2
Caylee Rosa,"1422 Robinwood Ave, Cincinnati, OH",45237,260000,11/27/2023,3,3,1936,"1,945","6,272",1
Mark Manibusan,1020 Clifton Hills Ave,45220,282500,5/3/2000,3,3.5,1936,2016,8058,2
Mark Manibusan,845 Clifton Hills Terrace,45220,357500,3/24/2009,3,3.5,1936,2370,16117,2
Kory Bailey,"58 Arcadia Ave, Lakeside Park, KY",41017,380000,1/9/2024,3,1.5,1936,1456,9583,1
Mark Manibusan,860 Clifton Hills Terrace,45220,454500,12/29/2023,4,2,1936,2042,12196,2
Nikhita Veluri,"860 Clifton Hills Ter, Cincinnati, OH",45220,454500,12/29/2023,4,2,1936,2042,12196,2
Qinghua Huang,"860 Clifton Hills Ter, Cincinnati, OH ",45220,454500,12/29/2023,4,2,1936,2042,12917,2
Surya Sanjay Bandari,"860 Clifton Hills Ter, Cincinnati, OH ",45220,454500,12/29/2023,4,2,1936,2042,5547,2
Shivani Pilli,860 Clifton Hills Ter,45220,454500,12/29/2023,4,2,1936,2042,12196.8,2
Miranda Knisley,"3950 Miami Rd, Cincinnati, OH",45227,575000,7/31/2023,3,3,1936,1691,6500,1
David Dickens,"3534 Clifton Ave, Cincinnati, OH",45220,625000,12/13/2023,3,5,1936,3162,161,2
Shivani Pilli,3534 Clifton Ave,45220,625000,12/13/2023,3,4,1936,3162,161.17,2
Pimlapas Kumkerd,"3131 Portsmouth Ave, Cincinnati, OH",45208,629900,12/22/2023,3,3,1936,"2,162",11325.6,2
William Treutel,"2815 Orland Ave, Cincinnati, OH",45211,80000,11/7/2023,2,2,1937,1218,7579,1
Hrishikesh Anil Patil,"3690 River Rd, Cincinnati, OH",45204,85000,9/18/2023,3,1,1937,"1,119","6,795",3
Lokesh Rudravalambi Suresh,"4904 Shirley Pl, Cincinnati",45238,182850,1/12/2024,3,2,1937,1746,6098,0
Jayavardhan Reddy Mallu,"4904 Shirley Pl, Cincinnati, OH",45238,182850,1/12/2024,3,2,1937,"1,746","6,098",N/A
Ajay Mahato,"3321 McLelland Ave, Cincinnati, OH",45211,197000,1/5/2024,3,2,1937,1279,6969,1
Anil Palazzo,"3321 McLelland Ave, Cincinnati, OH",45211,197000,1/5/2024,3,2,1937,"1,279","6,969",1
Ajay Mahato,"1086 Benz Ave, Cincinnati, OH",45238,221500,1/5/2024,3,2,1937,1810,5575,1
Anil Palazzo,"1086 Benz Ave, Cincinnati, OH",45238,221500,1/5/2024,3,2,1937,"1,810","5,575",1
Rachael Rahe,"1086 Benz Ave, Cincinnati, OH",45238,221500,1/5/2024,3,2,1937,1810,5575,1
Hrishikesh Anil Patil,"1086 Benz Ave, Cincinnati, OH",45238,221900,1/5/2024,3,2,1937,"1,810","5,575",1
Heather Stoffer,"1114 Maycliffe Pl, Cincinnati, OH ",45230,252000,11/19/2021,4,2,1937,"2,178","10,802",1
Mark Manibusan,1136 Clifton Hills Ave,45220,253000,8/26/2005,3,1.5,1937,2091,6926,2
Mark Manibusan,1027 Clifton Hills Ave,45220,330000,7/5/2013,4,2.5,1937,2126,16552,2
Mark Manibusan,1000 Clifton Hills Ave,45220,375000,7/7/2017,4,3.5,1937,2458,13939,2
Qinghua Huang,"1000 Clifton Hills Ave, Cincinnati, OH",45220,375000,7/7/2017,4,3.5,1937,2458,13939,2
Adapa Veda Supraja,"1000 Clifton Hills Ave, Cincinnati, OH",45220,375000,7/7/2017,4,3.5,1937,2458,13939,2
Mark Manibusan,1032 Clifton Hills Ave,45220,383000,4/30/2019,4,3,1937,2333,9864,2
Qinghua Huang,"1032 Clifton Hills Ave, Cincinnati, OH",45220,383000,4/30/2019,4,3,1937,2333,9864,2
Hunter Jessee,"4105 Sherel Ln, Cincinnati, OH",45209,415000,12/4/2023,3,2,1937,1543,5619,1
Jadyn Bauss,"4105 Sherel Ln, Cincinnati, OH",45209,415000,12/4/2023,3,2,1937,"1,543","5,619",1
David Dickens,"453 Warren Ave, Cincinnati, OH",45220,695000,3/26/2021,5,5,1937,3185,43995,4
Bhargav Sreepathi,"1041 Woodlawn Ave, Cincinnati, OH ",45205,50000,11/16/2023,3,1,1938,1470,4878,1
Heather Stoffer,"1123 Maycliffe Pl, Cincinnati, OH ",45230,128000,7/30/2015,3,2,1938,"1,506","12,197",1
Zachary Durst,"317 Market St, New Richmond, OH",45157,130000,8/31/2023,3,1,1938,1542,4094,2
David Dickens,"12 Chalmers Ct, Cincinnati, OH",45218,131000,12/29/2023,2,1,1938,924,2352,N/A
Hrishikesh Anil Patil,"4976 Heuwerth Ave, Cincinnati, OH",45238,190000,1/3/2024,3,2,1938,"1,555","6,054",1
Nikhil Sai Kumar Runku,"4976 Heuwerth Ave, Cincinnati, OH",45238,190000,1/3/2024,3,2,1938,"1,555","6,054",1
Mark Manibusan,864 Clifton Crest Terrace,45220,190000,2/20/2015,3,2.5,1938,1618,7840,1
Mark Manibusan,871 Clifton Crest Terrace,45220,190000,8/2/2015,4,3,1938,2328,8407,1
Sergio Mateo,2504 Dunaway Ct,45238,218000,9/7/2023,3,2,1938,2012,12196.8,1
Josie Wittwer,"6920 Grace Ave, Cincinnati, OH",45227,270000,9/26/2023,2,1,1938,N/A,"4,486",NA
Adapa Veda Supraja,"1918 Sterling Ave, Cincinnati, OH",45239,165000,12/7/2023,3,2,1939,1066,3959,1
Robin Verdon,"7006 Cambridge Ave, Cincinnati, OH",45227,237500,11/28/2023,2,1,1939,800,4225,1
Ajay Mahato,"508 Anderson Ferry Rd, Cincinnati, OH",45238,285000,1/5/2024,3,3,1939,2205,34848,3
Anil Palazzo,"508 Anderson Ferry Rd, Cincinnati, OH",45238,285000,1/5/2024,3,3,1939,"2,205","34,848",3
Pimlapas Kumkerd,"508 Anderson Ferry Rd, Cincinnati, OH",45238,285000,1/5/2024,3,3,1939,"2,205",34848,3
Mark Manibusan,1028 Clifton Hills Ave,45220,395000,5/26/2023,4,3,1939,1768,8842,2
Qinghua Huang,"1028 Clifton Hills Ave, Cincinnati, OH",45220,395000,5/26/2023,4,3,1939,1768,8842,2
Miranda Knisley,"7043 Rembold Ave, Cincinnati, OH",45227,445000,8/18/2023,3,3,1939,1238,3963,N/A
Miranda Knisley,"3756 Pocahontas Ave, Cincinnati, OH",45227,500000,6/30/2023,4,2,1939,1780,7666,1
Miranda Knisley,"7035 Rembold Ave, Cincinnati, OH",45227,565000,8/21/2023,3,3,1939,1788,5706,1
Georgia Croci,"1075 Edwards Road, cincinnati OH",45208,1075000,11/6/2023,4,4,1939,3560,18295,2
Nicole Baker,"1075 Edwards Rd, Cincinnati, OH",45208,1075000,11/6/2023,4,4,1939,3560,18295,2
Nishit Raj,"1075 Edwards Rd, Cincinnati, OH",45208,1075000,11/6/2023,4,4,1939,3560,20876,2
Nikhil Sai Kumar Runku,"1240 W Rookwood Dr, Cincinnati, OH",45208,1900000,4/19/2023,4,3.5,1939,4413,30492,2
Zachary Durst,"1881 State Route 232, New Richmond, OH",45157,55000,1/4/2024,1,1,1940,779,15681.6,NA
Zachary Durst,"781 Washington St, New Richmond, OH",45157,63000,1/11/2024,3,1.5,1940,1008,15246,NA
Derek Schult,5458 Newfield Ave,45237,67000,6/15/1998,3,1.5,1940,1800,4095,2
Derek Schult,1945 Lehigh Ave,45230,109500,6/20/2016,2,1,1940,1092,10149,2
William Treutel,"1722 Wolfangel Rd, Cincinnati, OH",45255,110111,6/22/2023,3,1,1940,1270,12632,
Derek Schult,1722 Wolfangel Rd,45255,110111,6/22/2023,3,1,1940,12170,12632,2
Jayavardhan Reddy Mallu,"2925 Carroll Ave, Cincinnati, OH",45248,195000,1/12/2024,2,2,1940,"1,296","7,492",N/A
Prashant Mukesh Gupta,"2030 Alvin St, Cincinnati, OH",45219,235000,11/20/2023,2,1.5,1940,1210,5140,1
Kory Bailey,"5209 Cook Ave, Blue Ash, OH",45242,240000,1/2/2024,3,1.5,1940,1386,9408,1
Stewart Shumrick,6329 Cambridge Ave,45230,259000,12/1/2023,3,2,1940,1590,7535,1
He Yang,"7421 Juler Ave, Cincinnati, OH",45243,282525,12/1/2023,2,1,1940,871,7884,1
Mark Manibusan,1031 Clifton Hills Ave,45220,289000,12/14/2018,2,3,1940,2048,10541,2
Robin Verdon,"3875 Belmont Ave, Cincinnati, OH",45227,310000,12/21/2023,3,1,1940,1817,6926,2
Stewart Shumrick,6001 Orchard Dr,45230,330000,12/5/2023,3,2,1940,1923,7448,2
Jadyn Bauss,"3972 Ardmore Ave, Cincinnati, OH",45229,339000,12/29/2023,3,2,1940,"1,521","4,443",1
Josie Wittwer,"3972 Ardmore Ave, Cincinnati, OH",45229,339000,12/29/2023,3,1.5,1940,"1,521","4,443",NA
Surya Sanjay Bandari,"3972 Ardmore Ave, Cincinnati, OH ",45229,339000,12/29/2023,3,2,1940,1521,4443,N/A
Hunter Jessee,"2526 Ridgecliff Ave, Cincinnati, OH",45212,379000,12/7/2023,3,2,1940,1426,7492,2
Josie Wittwer,"4150 Club View Dr, Cincinnati, OH",45209,380000,12/15/2023,3,2,1940,"1,407","5,052",1
Miranda Knisley,"6622 Elm St, Cincinnati, OH",45227,385000,8/28/2023,2,2,1940,N/A,3223,1
He Yang,"7561 Keller Rd, Cincinnati, OH",45243,630000,6/27/2023,3,2,1940,2432,32670,2
Ramvyasa Thavasiraj,"141 McLene Ave, London, OH",43140,194000,12/8/2023,3,2,1941,1176,6534,2
Caylee Rosa,"818 Northern Pkwy, Cincinnati, OH",45224,202000,12/14/2023,3,2,1941,"1,007","6,708",0
Heather Stoffer,"1304 Brooke Ave, Cincinnati, OH ",45230,235000,2/11/2022,4,3,1941,"1,460","8,319",2
Miranda Knisley,"6974 Cambridge Ave, Cincinnati, OH",45227,245000,10/16/2023,2,2,1941,900,4225,N/A
Robin Verdon,"6974 Cambridge Ave, Cincinnati, OH",45227,245000,10/16/2023,2,2,1941,900,4225,
Robin Verdon,"5634 Islington Ave, Cincinnati, OH",45227,260000,10/31/2023,3,1,1941,1077,5270,1
William Treutel,"5634 Islington Ave, Cincinnati, OH",45227,260000,10/31/2023,3,1,1941,1077,5270,1
Sergio Mateo,5576 Samver Rd,45239,265000,9/7/2023,4,2,1941,1409,12632.4,1
Sergio Mateo,1100 Betty Ln,45238,269900,9/8/2023,3,3,1941,2200,9365,4
Robin Verdon,"6958 Roe St, Cincinnati, OH",45227,320000,10/25/2023,3,2,1941,1180,4375,1
Miranda Knisley,"3868 Settle Rd, Cincinnati, OH",45227,478000,8/25/2023,3,2,1941,1723,5401,N/A
Miranda Knisley,"6943 Nolen Cir, Cincinnati, OH",45227,500000,12/27/2023,3,2,1941,1572,6577,1
Nikhita Veluri,"6943 Nolen Cir, Cincinnati, OH",45227,500000,12/27/2023,3,2,1941,1572,6577,1
Pimlapas Kumkerd,"6943 Nolen Cir, Cincinnati, OH",45227,500000,12/27/2023,3,2,1941,"1,572","6,577",1
Robin Verdon,"6943 Nolen Cir, Cincinnati, OH",45227,500000,12/27/2023,3,2,1941,1572,6577,1
Matt Guido,6943 Nolen Cir,45227,500000,12/27/2023,3,2,1941,1572,6577,1
Ajay Mahato,"6821 Hammerstone Way, Cincinnati, OH",45227,700000,1/9/2024,3,3,1941,2357,5880,2
Anil Palazzo,"6821 Hammerstone Way, Cincinnati, OH",45227,700000,1/9/2024,3,3,1941,"2,357","5,880",2
Ranjay Bose,"6821 Hammerstone Way,Cincinnati,OH",45227,700000,1/9/2024,3,3,1941,2357,5880.6,2
Robin Verdon,"6821 Hammerstone Way, Cincinnati, OH",45227,700000,1/9/2024,3,3,1941,2357,5880,2
Miranda Knisley,"6821 Hammerstone Way, Cincinnati, OH",45227,700000,1/9/2024,3,3,1941,N/A,5880,2
Aditya Raj Singhal,"3812 Riverview Dr, Columbus, OH",43221,1300000,1/8/2024,4,4,1941,"4,773",49222.8,3
William Treutel,"3203 Ashwood Dr, Cincinnati, OH",45213,445500,11/6/2023,3,3,1942,2469,5445,1
Srikar Kudumula,"3743 Sycamore Ln, London, OH",43140,100000,11/6/2023,1,1,1945,1100,7405,NA
Zachary Durst,1745 Lindale Nicholsville Rd,45157,179725,12/15/2023,2,1,1945,792,57934.8,NA
Stewart Shumrick,1306 Burney Ln,45230,185000,11/21/2023,3,1,1945,1375,7013,1
Archana Basnett,"2969 Hull Ave, Cincinnati, OH",45211,237160,11/15/2023,4,3,1945,1897,"6,098",1
Catherine Ngothi,"2969 Hull Ave, Cincinnati, OH",45211,237160,11/15/2023,4,3,1945,1897,"6,098",1
Robin Verdon,"3837 Belmont Ave, Cincinnati, OH",45227,320150,12/15/2023,3,2,1945,947,6141,1
Adapa Veda Supraja,"3837 Belmont Ave, Cincinnati, OH",45227,320150,12/15/2023,3,2,1945,947,6141,1
Ishaan Chaudhari,"1919 State Route 46 S, Jefferson, OH",44047,365000,7/12/2022,3,2,1945,1560,3240864,2
Josie Wittwer,"594 Judy Ln, Cincinnati, OH",45238,171000,12/18/2023,2,1,1946,999,"8,276",1
Stewart Shumrick,1436 Dyer Ave,45230,215000,12/12/2023,4,2,1946,1273,7405,2
Nikhil Sai Kumar Runku,1436 Dyer Ave,45230,215000,12/12/2023,4,2,1946,1273,7405,2
Sergio Mateo,948 Winsray Ct,45224,255000,9/12/2023,3,2,1946,1840,7579.44,1
Caylee Rosa,"1829 Larchwood Pl, Cincinnati, OH",45237,257000,11/6/2023,3,3,1946,"1,564","5,314",2
Nishit Raj,"1829 Larchwood Pl, Cincinnati, OH",45237,257000,11/6/2023,3,3,1946,1564,5314,2
Archana Basnett,"4008 Rowan Hill Dr, Cincinnati, OH",45227,382000,11/15/2023,3,2,1946,1486,"7,143",1
Miranda Knisley,"4008 Rowan Hill Dr, Cincinnati, OH",45227,382000,11/15/2023,3,2,1946,1486,7143,1
Robin Verdon,"4008 Rowan Hill Dr. Cincinnati, OH",45227,382000,11/15/2023,3,2,1946,1486,7143,1
Miranda Knisley,"6975 Bramble Hill Dr, Cincinnati, OH",45227,495000,9/14/2023,3,2,1946,N/A,7361,N/A
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"2513 Bauer Rd, Batavia, OH",45103,108000,12/28/2023,3,1,1947,1152,47916,NA
Lokesh Rudravalambi Suresh,"4762 Prosperity Pl, Cincinnati, OH ",45238,111500,1/16/2024,3,2,1947,1110,4181,1
Jayavardhan Reddy Mallu,"4762 Prosperity Pl, Cincinnati, OH",45238,111500,1/16/2024,3,2,1947,"1,110","4,181",N/A
Nikhil Sai Kumar Runku,"4762 Prosperity Pl, Cincinnati, OH ",45238,111500,1/16/2024,3,2,1947,1110,4181,1
Surya Sanjay Bandari,"1007 Mary Ln, Cincinnati, OH ",45215,133000,12/29/2023,4,3,1947,3005,7799,2
Stewart Shumrick,978 Four Mile Rd,45230,170000,12/7/2023,3,2,1947,1786,16117.2,open parking
Pimlapas Kumkerd,"5438 Vogel Rd, Cincinnati, OH",45239,175000,12/21/2023,4,1,1947,"1,292","7,056",1
Caylee Rosa,"1030 Towanda Ter, Cincinnati, OH",45216,246000,11/9/2023,5,3,1947,"2,131","4,660",0
Manan Sharma,"10054 Prechtel Rd, Cincinnati, OH",45252,515000,9/20/2022,3,3,1947,1182,64468,1
Jameson Zink,"217 Monitor Ave,Cincinnati,OH",45233,50000,1/12/2024,2,1,1948,1732,15246,1
Ranjay Bose,"217 Monitor Ave,Cincinnati,OH",45233,50000,1/12/2024,2,1,1948,1732,0.35,N/A
Jadyn Bauss,"7829 Sunfield Dr, Cincinnati, OH",45237,141000,11/29/2023,3,2,1948,"1,559","5,662",1
Jameson Zink,"6673 Jersey Ave,Cincinnati,OH",45233,176500,1/12/2024,2,2,1948,792,7274.52,1
Jameson Zink,"6102 Sunridge Dr,Cincinnati,OH",45224,200000,1/10/2024,3,3,1948,1718,NA,1
